POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;ATTIVA_IMMESSA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;REATTIVA_INDUTTIVA_IMMESSA;CONSUMO_REATTIVA_CAPACITIVA_PRELEVATA;REATTIVA_CAPACITIVA_IMMESSA;POTENZA_MASSIMA;TIPO_DATO;
IT012E00107977;20231101;000000;+01;0,208;;0,0;;;;;E;
IT012E00107977;20231101;001500;+01;0,137;;0,0;;;;;E;
IT012E00107977;20231101;003000;+01;0,141;;0,0;;;;;E;
IT012E00107977;20231101;004500;+01;0,106;;0,0;;;;;E;
IT012E00107977;20231101;010000;+01;0,08;;0,0;;;;;E;
IT012E00107977;20231101;011500;+01;0,079;;0,0;;;;;E;
IT012E00107977;20231101;013000;+01;0,071;;0,0;;;;;E;
IT012E00107977;20231101;014500;+01;0,07;;0,0;;;;;E;
IT012E00107977;20231101;020000;+01;0,077;;0,0;;;;;E;
IT012E00107977;20231101;021500;+01;0,07;;0,0;;;;;E;
IT012E00107977;20231101;023000;+01;0,015;;0,0;;;;;E;
IT012E00107977;20231101;024500;+01;0,067;;0,0;;;;;E;
IT012E00107977;20231101;030000;+01;0,046;;0,0;;;;;E;
IT012E00107977;20231101;031500;+01;0,029;;0,0;;;;;E;
IT012E00107977;20231101;033000;+01;0,015;;0,0;;;;;E;
IT012E00107977;20231101;034500;+01;0,066;;0,0;;;;;E;
IT012E00107977;20231101;040000;+01;0,006;;0,0;;;;;E;
IT012E00107977;20231101;041500;+01;0,015;;0,0;;;;;E;
IT012E00107977;20231101;043000;+01;0,069;;0,0;;;;;E;
IT012E00107977;20231101;044500;+01;0,008;;0,0;;;;;E;
IT012E00107977;20231101;050000;+01;0,011;;0,0;;;;;E;
IT012E00107977;20231101;051500;+01;0,016;;0,0;;;;;E;
IT012E00107977;20231101;053000;+01;0,008;;0,0;;;;;E;
IT012E00107977;20231101;054500;+01;0,093;;0,0;;;;;E;
IT012E00107977;20231101;060000;+01;0,042;;0,0;;;;;E;
IT012E00107977;20231101;061500;+01;0,015;;0,0;;;;;E;
IT012E00107977;20231101;063000;+01;0,022;;0,0;;;;;E;
IT012E00107977;20231101;064500;+01;0,139;;0,0;;;;;E;
IT012E00107977;20231101;070000;+01;0,034;;0,0;;;;;E;
IT012E00107977;20231101;071500;+01;0,01;;0,0;;;;;E;
