POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;ATTIVA_IMMESSA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;REATTIVA_INDUTTIVA_IMMESSA;CONSUMO_REATTIVA_CAPACITIVA_PRELEVATA;REATTIVA_CAPACITIVA_IMMESSA;POTENZA_MASSIMA;TIPO_DATO;
IT012E00107977;20231201;000000;+01;0,104;;0,003;;;;;E;
IT012E00107977;20231201;001500;+01;0,141;;0,0;;;;;E;
IT012E00107977;20231201;003000;+01;0,313;;0,0;;;;;E;
IT012E00107977;20231201;004500;+01;0,16;;0,0;;;;;E;
IT012E00107977;20231201;010000;+01;0,128;;0,0;;;;;E;
IT012E00107977;20231201;011500;+01;0,076;;0,0;;;;;E;
IT012E00107977;20231201;013000;+01;0,111;;0,0;;;;;E;
IT012E00107977;20231201;014500;+01;0,181;;0,0;;;;;E;
IT012E00107977;20231201;020000;+01;0,306;;0,0;;;;;E;
IT012E00107977;20231201;021500;+01;0,224;;0,0;;;;;E;
IT012E00107977;20231201;023000;+01;0,137;;0,0;;;;;E;
IT012E00107977;20231201;024500;+01;0,142;;0,0;;;;;E;
IT012E00107977;20231201;030000;+01;0,097;;0,0;;;;;E;
IT012E00107977;20231201;031500;+01;0,139;;0,0;;;;;E;
IT012E00107977;20231201;033000;+01;0,072;;0,0;;;;;E;
IT012E00107977;20231201;034500;+01;0,068;;0,0;;;;;E;
IT012E00107977;20231201;040000;+01;0,07;;0,0;;;;;E;
IT012E00107977;20231201;041500;+01;0,066;;0,0;;;;;E;
IT012E00107977;20231201;043000;+01;0,067;;0,0;;;;;E;
IT012E00107977;20231201;044500;+01;0,051;;0,0;;;;;E;
IT012E00107977;20231201;050000;+01;0,068;;0,0;;;;;E;
IT012E00107977;20231201;051500;+01;0,411;;0,0;;;;;E;
IT012E00107977;20231201;053000;+01;0,251;;0,0;;;;;E;
IT012E00107977;20231201;054500;+01;0,069;;0,0;;;;;E;
IT012E00107977;20231201;060000;+01;0,07;;0,0;;;;;E;
IT012E00107977;20231201;061500;+01;0,043;;0,0;;;;;E;
IT012E00107977;20231201;063000;+01;0,058;;0,0;;;;;E;
IT012E00107977;20231201;064500;+01;0,046;;0,0;;;;;E;
IT012E00107977;20231201;070000;+01;0,017;;0,0;;;;;E;
IT012E00107977;20231201;071500;+01;0,06;;0,0;;;;;E;
IT012E00107977;20231201;073000;+01;0,007;;0,0;;;;;E;
IT012E00107977;20231201;074500;+01;0,014;;0,0;;;;;E;
IT012E00107977;20231201;080000;+01;0,061;;0,0;;;;;E;
IT012E00107977;20231201;081500;+01;0,479;;0,05;;;;;E;
IT012E00107977;20231201;083000;+01;0,143;;0,0;;;;;E;
IT012E00107977;20231201;084500;+01;0,182;;0,0;;;;;E;
IT012E00107977;20231201;090000;+01;0,145;;0,0;;;;;E;
IT012E00107977;20231201;091500;+01;0,206;;0,0;;;;;E;
IT012E00107977;20231201;093000;+01;0,306;;0,0;;;;;E;
IT012E00107977;20231201;094500;+01;0,199;;0,0;;;;;E;
IT012E00107977;20231201;100000;+01;0,19;;0,0;;;;;E;
IT012E00107977;20231201;101500;+01;0,248;;0,0;;;;;E;
IT012E00107977;20231201;103000;+01;0,2;;0,0;;;;;E;
IT012E00107977;20231201;104500;+01;0,247;;0,005;;;;;E;
IT012E00107977;20231201;110000;+01;0,255;;0,0;;;;;E;
IT012E00107977;20231201;111500;+01;0,181;;0,0;;;;;E;
IT012E00107977;20231201;113000;+01;0,211;;0,0;;;;;E;
IT012E00107977;20231201;114500;+01;0,164;;0,0;;;;;E;
IT012E00107977;20231201;120000;+01;0,221;;0,0;;;;;E;
IT012E00107977;20231201;121500;+01;0,179;;0,0;;;;;E;
IT012E00107977;20231201;123000;+01;0,242;;0,0;;;;;E;
IT012E00107977;20231201;124500;+01;0,186;;0,0;;;;;E;
IT012E00107977;20231201;130000;+01;0,178;;0,0;;;;;E;
IT012E00107977;20231201;131500;+01;0,221;;0,0;;;;;E;
IT012E00107977;20231201;133000;+01;0,175;;0,0;;;;;E;
IT012E00107977;20231201;134500;+01;0,284;;0,015;;;;;E;
IT012E00107977;20231201;140000;+01;0,203;;0,0;;;;;E;
IT012E00107977;20231201;141500;+01;0,185;;0,0;;;;;E;
IT012E00107977;20231201;143000;+01;0,181;;0,0;;;;;E;
IT012E00107977;20231201;144500;+01;0,221;;0,001;;;;;E;
IT012E00107977;20231201;150000;+01;0,161;;0,0;;;;;E;
IT012E00107977;20231201;151500;+01;0,153;;0,0;;;;;E;
IT012E00107977;20231201;153000;+01;0,147;;0,0;;;;;E;
IT012E00107977;20231201;154500;+01;0,155;;0,0;;;;;E;
IT012E00107977;20231201;160000;+01;0,158;;0,0;;;;;E;
IT012E00107977;20231201;161500;+01;0,135;;0,0;;;;;E;
IT012E00107977;20231201;163000;+01;0,142;;0,0;;;;;E;
IT012E00107977;20231201;164500;+01;0,218;;0,0;;;;;E;
IT012E00107977;20231201;170000;+01;0,267;;0,0;;;;;E;
IT012E00107977;20231201;171500;+01;0,304;;0,0;;;;;E;
IT012E00107977;20231201;173000;+01;0,233;;0,0;;;;;E;
IT012E00107977;20231201;174500;+01;0,235;;0,0;;;;;E;
IT012E00107977;20231201;180000;+01;0,269;;0,0;;;;;E;
IT012E00107977;20231201;181500;+01;0,19;;0,0;;;;;E;
IT012E00107977;20231201;183000;+01;0,151;;0,0;;;;;E;
IT012E00107977;20231201;184500;+01;0,187;;0,0;;;;;E;
IT012E00107977;20231201;190000;+01;0,177;;0,0;;;;;E;
IT012E00107977;20231201;191500;+01;0,196;;0,0;;;;;E;
IT012E00107977;20231201;193000;+01;0,414;;0,0;;;;;E;
IT012E00107977;20231201;194500;+01;0,523;;0,0;;;;;E;
IT012E00107977;20231201;200000;+01;0,462;;0,0;;;;;E;
IT012E00107977;20231201;201500;+01;0,264;;0,0;;;;;E;
IT012E00107977;20231201;203000;+01;0,277;;0,0;;;;;E;
IT012E00107977;20231201;204500;+01;0,184;;0,0;;;;;E;
IT012E00107977;20231201;210000;+01;0,227;;0,0;;;;;E;
IT012E00107977;20231201;211500;+01;0,18;;0,0;;;;;E;
IT012E00107977;20231201;213000;+01;0,228;;0,0;;;;;E;
IT012E00107977;20231201;214500;+01;0,173;;0,0;;;;;E;
