POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;ATTIVA_IMMESSA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;REATTIVA_INDUTTIVA_IMMESSA;CONSUMO_REATTIVA_CAPACITIVA_PRELEVATA;REATTIVA_CAPACITIVA_IMMESSA;POTENZA_MASSIMA;TIPO_DATO;
IT012E00107977;20231004;190000;+02;0,17;;0,0;;;;;E;
IT012E00107977;20231004;191500;+02;0,334;;0,0;;;;;E;
IT012E00107977;20231004;193000;+02;0,171;;0,0;;;;;E;
IT012E00107977;20231004;194500;+02;0,172;;0,0;;;;;E;
IT012E00107977;20231004;200000;+02;0,171;;0,0;;;;;E;
IT012E00107977;20231004;201500;+02;0,172;;0,0;;;;;E;
IT012E00107977;20231004;203000;+02;0,172;;0,0;;;;;E;
IT012E00107977;20231004;204500;+02;0,171;;0,001;;;;;E;
IT012E00107977;20231004;210000;+02;0,171;;0,0;;;;;E;
IT012E00107977;20231004;211500;+02;0,171;;0,0;;;;;E;
IT012E00107977;20231004;213000;+02;0,172;;0,0;;;;;E;
IT012E00107977;20231004;214500;+02;0,171;;0,0;;;;;E;
IT012E00107977;20231004;220000;+02;0,172;;0,0;;;;;E;
IT012E00107977;20231004;221500;+02;0,171;;0,0;;;;;E;
IT012E00107977;20231004;223000;+02;0,172;;0,0;;;;;E;
IT012E00107977;20231004;224500;+02;0,172;;0,001;;;;;E;
IT012E00107977;20231004;230000;+02;0,093;;0,0;;;;;E;
IT012E00107977;20231004;231500;+02;0,093;;0,0;;;;;E;
IT012E00107977;20231004;233000;+02;0,17;;0,0;;;;;E;
IT012E00107977;20231004;234500;+02;0,094;;0,0;;;;;E;
IT012E00107977;20231005;000000;+02;0,08;;0,0;;;;;E;
IT012E00107977;20231005;001500;+02;0,153;;0,0;;;;;E;
IT012E00107977;20231005;003000;+02;0,091;;0,0;;;;;E;
IT012E00107977;20231005;004500;+02;0,09;;0,0;;;;;E;
IT012E00107977;20231005;010000;+02;0,068;;0,0;;;;;E;
IT012E00107977;20231005;011500;+02;0,077;;0,0;;;;;E;
IT012E00107977;20231005;013000;+02;0,077;;0,0;;;;;E;
IT012E00107977;20231005;014500;+02;0,02;;0,0;;;;;E;
IT012E00107977;20231005;020000;+02;0,071;;0,0;;;;;E;
IT012E00107977;20231005;021500;+02;0,065;;0,0;;;;;E;
IT012E00107977;20231005;023000;+02;0,013;;0,0;;;;;E;
IT012E00107977;20231005;024500;+02;0,017;;0,0;;;;;E;
IT012E00107977;20231005;030000;+02;0,071;;0,0;;;;;E;
IT012E00107977;20231005;031500;+02;0,014;;0,0;;;;;E;
IT012E00107977;20231005;033000;+02;0,008;;0,0;;;;;E;
IT012E00107977;20231005;034500;+02;0,017;;0,0;;;;;E;
IT012E00107977;20231005;040000;+02;0,07;;0,0;;;;;E;
IT012E00107977;20231005;041500;+02;0,015;;0,0;;;;;E;
IT012E00107977;20231005;043000;+02;0,007;;0,0;;;;;E;
IT012E00107977;20231005;044500;+02;0,016;;0,0;;;;;E;
IT012E00107977;20231005;050000;+02;0,017;;0,0;;;;;E;
